repo_name,openedx_yaml.oep-2,ownership.theme,ownership.squad,travis_yml.python_versions
openedx/frontend-component-cookie-policy-banner,False,engagement,discover,[]
openedx/edx-cookiecutters,True,openedx,arch-bom,[]
openedx/event-bus-kafka,True,openedx,arch-bom,[]
openedx/schoolyourself-xblock,True,openedx,arbi-bom,[]
openedx/repo-tools,False,openedx,arch-bom,[]
openedx/edx-organizations,False,content,tnl,[]
openedx/ccx-keys,False,openedx,arbi-bom,[]
openedx/frontend-template-application,False,openedx,tcril,[]
openedx/taxonomy-connector,False,enterprise,markhors,[]
openedx/openedx-backstage,False,openedx,tcril,[]
openedx/edx-ui-toolkit,False,openedx,fed-bom,[]
openedx/ecommerce,True,engagement,revenue,[]
openedx/enterprise-catalog,True,enterprise,titans,[]
openedx/frontend-platform,False,openedx,fed-bom,[]
openedx/FeedbackXBlock,False,,,[]
openedx/edx-analytics-data-api,True,content,cosmonauts,[]
openedx/django-wiki,False,content,aperture,[]
openedx/codejail,True,content,tnl,[]
openedx/frontend-app-authn,False,engagement,vanguards,[]
openedx/django-user-tasks,True,openedx,arch-bom,[]
openedx/edx-search,True,content,tnl,[]
openedx/xblock-image-explorer,False,enterprise,yonkers,[]
openedx/xqueue-watcher,False,content,aurora,[]
openedx/edx-ora2,True,content,Aurora,[]
openedx/edx-rbac,True,openedx,arch-bom,[]
openedx/edx-proctoring,True,content,cosmonauts,[]
openedx/i18n-tools,False,content,phoenix,[]
openedx/edx-django-release-util,False,platform,sre,[]
openedx/studio-frontend,True,content,tnl,[]
openedx/repo-tools-data-schema,True,openedx,tcril,[]
openedx/tcril-engineering,False,openedx,tcril,[]
openedx/django-lang-pref-middleware,False,openedx,arch-bom,[]
openedx/frontend-app-payment,False,engagement,revenue,[]
openedx/codejail-includes,True,openedx,arbi-bom,[]
openedx/edx-analytics-data-api-client,True,content,cosmonauts,[]
openedx/completion,True,content,cosmonauts,[]
openedx/edx-bootstrap,False,openedx,fed-bom,[]
openedx/training-courses,False,openedx,tcril,[]
openedx/edx-ace,True,engagement,vanguards,[]
openedx/frontend-app-ora-grading,True,,,[]
openedx/browserslist-config,False,enterprise,titans,[]
openedx/sample-themes,False,openedx,fed-bom,[]
openedx/devstack,True,openedx,arch-bom,[]
openedx/blockstore,True,content,tnl,[]
openedx/xblock-in-video-quiz,False,openedx,arbi-bom,[]
openedx/credentials,False,content,aperture,[]
openedx/brand-openedx,False,org-wide,ux-design-system,[]
openedx/registrar,True,content,cosmonauts,[]
openedx/community-wg,False,openedx,tcril,[]
openedx/frontend-app-enterprise-public-catalog,False,enterprise,quokkas,[]
openedx/edx-enterprise,False,enterprise,titans,[]
openedx/frontend-wg,False,openedx,tcril,[]
openedx/edx-tools,False,openedx,arch-bom,[]
openedx/auth-backends,False,openedx,arch-bom,[]
openedx/cypress-e2e-tests,False,enterprise,titans,[]
openedx/django-require,False,,,[]
openedx/tcril-engineering-api,False,openedx,tcril,[]
openedx/edx-lint,False,openedx,arch-bom,[]
openedx/frontend-app-discussions,False,content,inf,[]
openedx/edx-celeryutils,True,openedx,arch-bom,[]
openedx/xblock-submit-and-compare,False,openedx,arbi-bom,[]
openedx/django-multi-email-field,False,openedx,arbi-bom,"[2.7, 3.6, 3.7, 3.8]"
openedx/TinCanPython,False,,,[]
openedx/frontend-app-learner-portal-programs,True,content,cosmonauts,[]
openedx/openedx-test-course,False,openedx,tcril,[]
openedx/xblock-utils,False,content,tnl,[]
openedx/django-pyfs,False,openedx,arch-bom,[]
openedx/edx-custom-a11y-rules,False,openedx,arch-bom,[]
openedx/openedx-conference-pages,False,openedx,tcril,[]
openedx/xblock-drag-and-drop-v2,False,openedx,OpenCraft,[]
openedx/paragon,False,org-wide,ux,[]
openedx/edx-django-sites-extensions,False,enterprise,titans,[]
openedx/platform-roadmap,False,openedx,tcril,[]
openedx/terraform-github,False,openedx,tcril,[]
openedx/edx-app-gradle-plugin,False,engagement,mobile,[]
openedx/pytest-repo-health,True,openedx,arch-bom,[]
openedx/cc2olx,True,content,cosmonauts,[]
openedx/edx-app-ios,False,engagement,mobile,[]
openedx/help-tokens,True,openedx,arch-bom,[]
openedx/onboarding-course-introduction,False,openedx,tcril,[]
openedx/pr_watcher_configuration,False,openedx,tcril,[]
openedx/DoneXBlock,True,openedx,arbi-bom,[]
openedx/AnimationXBlock,False,openedx,arbi-bom,[]
openedx/edx-analytics-configuration,False,platform,data-de,[]
openedx/openedx-filters,True,openedx,eduNEXT,[]
openedx/openedx-conference-website,False,openedx,tcril,[]
openedx/xblock-image-modal,False,openedx,arbi-bom,[]
openedx/frontend-app-learning,False,content,Aurora,[]
openedx/tutor-contrib-multi,False,openedx,tcril,[]
openedx/modular-learning,False,openedx,OpenCraft,[]
openedx/XBlock,True,,,[]
openedx/xss-utils,True,openedx,arch-bom,[]
openedx/frontend-app-communications,False,,,[]
openedx/configuration,True,platform,sre,[]
openedx/edx-documentation,True,openedx,tcril,[]
openedx/frontend-component-footer,False,openedx,fed-bom,[]
openedx/mdrst,True,openedx,arch-bom,[]
openedx/wg-developer-experience,False,openedx,tcril,[]
openedx/tinymce-language-selector,False,content,tnl,[]
openedx/docs.openedx.org,False,openedx,tcril,[]
openedx/enterprise-access,True,,,[]
openedx/webhook-test-repo,False,openedx,tcril,[]
openedx/edx-analytics-exporter,False,platform,data-de,[]
openedx/frontend-app-gradebook,True,content,Aurora,[]
openedx/openedx-calc,False,content,tnl,[]
openedx/reactifex,False,content,phoenix,[]
openedx/frontend-app-account,False,openedx,fed-bom,[]
openedx/acid-block,False,openedx,arbi-bom,[]
openedx/AudioXBlock,True,openedx,arbi-bom,[]
openedx/openedx-learning,True,openedx,tcril,[]
openedx/frontend-app-course-authoring,False,content,tnl,[]
openedx/edx-analytics-pipeline,True,platform,data-de,[]
openedx/frontend-app-learner-dashboard,True,,,[]
openedx/edx-developer-docs,True,openedx,tcril,[]
openedx/open-edx-proposals,False,openedx,arch-bom,[]
openedx/edx-toggles,True,openedx,arch-bom,[]
openedx/edx-submissions,False,content,Aurora,[]
openedx/testeng-ci,True,,,[]
openedx/bok-choy,False,openedx,arch-bom,[]
openedx/MongoDBProxy,True,platform,sre,[]
openedx/pr_watcher_notifier,False,openedx,tcril,[]
openedx/build-test-release-wg,False,openedx,tcril,[]
openedx/xblock-lti-consumer,True,content,cosmonauts,[]
openedx/xblock-sdk,False,content,tnl,[]
openedx/xqueue,True,content,aurora,[]
openedx/frontend-lib-content-components,False,content,tnl,[]
openedx/edx-app-android,False,engagement,mobile,[]
openedx/ConceptXBlock,True,openedx,arbi-bom,[]
openedx/tutor-contrib-coursegraph,False,openedx,tcril,[]
openedx/frontend-app-profile,False,content,aperture,[]
openedx/frontend-app-library-authoring,False,content,tnl,[]
openedx/tcril-onboarding,False,openedx,tcril,[]
openedx/xblock-qualtrics-survey,False,openedx,arbi-bom,[]
openedx/openedx-webhooks,True,openedx,tcril,[]
openedx/opaque-keys,True,content,tnl,[]
openedx/eslint-config,False,openedx,fed-bom,[]
openedx/edx-val,True,content,phoenix,[]
openedx/django-config-models,True,openedx,arch-bom,[]
openedx/openedx-chem,False,content,tnl,[]
openedx/xblock-free-text-response,False,openedx,arbi-bom,[]
openedx/staff_graded-xblock,True,openedx,arbi-bom,[]
openedx/xblock-sql-grader,False,openedx,arbi-bom,[]
openedx/enmerkar-underscore,False,openedx,arch-bom,[]
openedx/course-discovery,True,content,phoenix,[]
openedx/edx-user-state-client,False,content,Aurora,[]
openedx/openedxstats,True,openedx,tcril,[]
openedx/xblock-adventure,False,enterprise,yonkers,[]
openedx/edx-bulk-grades,True,content,Aurora,[]
openedx/frontend-lib-special-exams,False,,,[]
openedx/openedx-census,False,openedx,tcril,[]
openedx/edx-notes-api,True,content,aurora,[]
openedx/edx-app-test,False,engagement,mobile,[]
openedx/edx-rest-api-client,False,openedx,arch-bom,[]
openedx/crowdsourcehinter,False,openedx,arbi-bom,[]
openedx/edx-enterprise-data,False,enterprise,markhors,[]
openedx/edx-drf-extensions,True,openedx,arch-bom,[]
openedx/license-manager,True,enterprise,titans,[]
openedx/xblock-google-drive,True,enterprise,yonkers,[]
openedx/api-doc-tools,True,openedx,arbi-bom,[]
openedx/frontend-app-support-tools,True,content,phoenix,[]
openedx/edx-when,True,content,cosmonauts,[]
openedx/public-engineering,False,openedx,tcril,[]
openedx/frontend-app-programs-dashboard,False,content,aperture,[]
openedx/frontend-app-learner-record,False,content,aperture,[]
openedx/frontend-app-program-console,False,content,cosmonauts,[]
openedx/frontend-app-admin-portal,False,enterprise,titans,[]
openedx/openedx-events,True,openedx,eduNEXT,[]
openedx/olxcleaner,False,content,inf,[]
openedx/mockprock,False,content,cosmonauts,[]
openedx/code-annotations,True,platform,data-de,[]
openedx/event-routing-backends,True,openedx,arch-bom,[]
openedx/user-util,False,platform,data-de,[]
openedx/frontend-component-header,False,openedx,fed-bom,[]
openedx/edx-milestones,True,content,aperture,[]
openedx/pytest-warnings-report,True,openedx,arch-bom,[]
openedx/frontend-enterprise,False,enterprise,titans,[]
openedx/credentials-themes,False,content,aperture,[]
openedx/architecture-coordination-wg,False,openedx,tcril,[]
openedx/cs_comments_service,False,content,inf,[]
openedx/data-wg,False,openedx,tcril,[]
openedx/stylelint-config-edx,False,openedx,fed-bom,[]
openedx/django-splash,True,openedx,arch-bom,[]
openedx/edx-analytics-dashboard,False,content,cosmonauts,[]
openedx/openedx-translations,False,openedx,tcril,[]
openedx/frontend-app-publisher,True,content,phoenix,[]
openedx/edx-sphinx-theme,True,openedx,tcril,[]
openedx/ecommerce-worker,True,engagement,revenue,[]
openedx/super-csv,True,content,Aurora,[]
openedx/frontend-app-learner-portal-enterprise,False,enterprise,titans,[]
openedx/web-fragments,True,openedx,arch-bom,[]
openedx/edx-platform,True,openedx,arch-bom,[]
openedx/tubular,False,platform,sre,[]
openedx/RecommenderXBlock,False,,,[]
openedx/frontend-build,False,openedx,fed-bom,[]
openedx/openedx-atlas,False,openedx,tcril,[]
openedx/edx-django-utils,True,openedx,arch-bom,[]
openedx/openedx-i18n,False,openedx,tcril,[]
openedx/frontend-app-ecommerce,False,engagement,revenue,[]
openedx/openedx-demo-course,False,content,tnl,[]
openedx/openedx-tech-radar,False,openedx,tcril,[]
openedx/openedx-slack-invite,False,openedx,tcril,[]
openedx/ecommerce-scripts,True,engagement,revenue,[]
openedx/event-tracking,False,platform,data-de,[]
